run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1787150195.580429,rest,attention,left
1,1,prompt,1787150220.968271,rest,rest,right
1,2,prompt,1787150246.274677,rest,attention,right
1,3,prompt,1787150271.467326,rest,rest,left
1,4,prompt,1787150296.653674,rest,attention,left
1,5,prompt,1787150321.796277,rest,rest,right
1,6,prompt,1787150347.368532,rest,attention,right
1,7,prompt,1787150372.724655,rest,rest,left
1,8,prompt,1787150397.959839,rest,attention,left
1,9,prompt,1787150423.468128,rest,rest,right
1,10,prompt,1787150448.817957,rest,attention,right
1,11,prompt,1787150473.995436,rest,rest,left
1,12,prompt,1787150499.717613,rest,attention,left
1,13,prompt,1787150524.86928,rest,rest,right
1,14,prompt,1787150550.19121,rest,attention,right
1,15,prompt,1787150575.718314,rest,rest,left
1,16,prompt,1787150601.128985,rest,attention,left
1,17,prompt,1787150626.368169,rest,rest,right
1,18,prompt,1787150651.718991,rest,attention,left
1,19,prompt,1787150677.004845,rest,rest,right
